Time, Aileron Command (norm), Elevator Command (norm), Rudder Command (norm), Flap Command (norm), Left Aileron Position (deg), Right Aileron Position (deg), Elevator Position (deg), Rudder Position (deg), Flap Position (deg), P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), ECEF X (ft), ECEF Y (ft), ECEF Z (ft), EPA (deg), Distance AGL (ft), Terrain Radius (ft), Pitch Trim Sum, Elevator Control, elevator normalization, Roll-Trim-Sum, Left Aileron Control, Right Aileron Control, left aileron normalization, right aileron normalization, Rudder Command Sum, Yaw Damper Rate, Yaw Damper Beta, Yaw Damper Sum, Yaw Damper Final, Rudder Sum, Rudder Control, rudder normalization, Flaps Control, flap normalization, Gear Control, Speedbrake Control, vc-kts, alphadot-deg sec, betadot-deg sec, throttle-cmd-norm
0.00833333, 0, 0, 0, 0.5, 0, 0, 2.403293552, 0, 15, -0.0000000000000001, 0.0000000119275647, 0.0000000000000002, -0.0000000000000042, 0.0000009842477300, 0.0000000000000158, 40.87064646, 7150344.045, 211.652769873, 1541.16505042, 211.2073913975522430, -0.0000000000000682, -13.7234403098784004, 211.2073913975522430, -0.0000000000000682, -13.7234403098784004, 211.6527699370494702, 0.0000000000000000, -0.0000179444716277, 8776.000000298, 8776.000000298, -0.0000000000000000, -3.7176227450172235, 0.0000000000000000, -3.7176324817495, -1.8465443685948e-14, 9.6545961297165e-06, 1.2364036048822e-28, 20934426.0000000000000000, 0.0000000000000000, 3.5275447552583712, 6.9634541608622e-05, 8776.000000298, 20925650, 0.119843957, 0.041945385, 0.119843957, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0.5, 1, 0, 109.7679073, -7.484686208e-06, -4.431709315e-12, 0.6351242719
0.02499999, 0, 0, 0, 0.5, 0, 0, 2.403293552, -2.49484585e-15, 15, 0.0000000000000122, 0.0000000653458151, -0.0000000000000138, 0.0000000000008386, 0.0000032124327485, -0.0000000000009147, 40.87064638, 7150344.039, 211.652769677, 1541.1650504, 211.2073911617604551, -0.0000000000008529, -13.7234409107697015, 211.2073911617604551, -0.0000000000008529, -13.7234409107697015, 211.6527697861666866, -0.0000000000003207, -0.0000540696964517, 8776.0000011921, 8776.0000011921, 0.0000000000000000, -3.7176130898951723, 360.0000030593939755, -3.7176326482111, -2.3088036005429e-13, 1.9309192254446e-05, -5.2132470107934e-21, 20934426.0000000037252903, -0.0000000000000019, 7.0550895086947003, 0.00013926908321724, 8776.0000011921, 20925650, 0.119843957, 0.041945385, 0.119843957, 0, 0, 0, 0, 0, 0, -1.24409354e-16, -0, -1.24409354e-16, -1.24409354e-16, -1.24409354e-16, -4.3543274e-17, -1.24409354e-16, 15, 0.5, 1, 0, 109.7679072, -1.247439563e-05, -2.259878152e-11, 0.6351242719
0.04166665, 0, 0, 0, 0.5, 0, 0, 2.403293552, -2.363175304e-14, 15, 0.0000000000000768, 0.0000001578595554, -0.0000000000000674, 0.0000000000040731, 0.0000055580032391, -0.0000000000033250, 40.87064627, 7150344.029, 211.652769389, 1541.16505036, 211.2073908152578099, -0.0000000000031317, -13.7234418082929466, 211.2073908152578099, -0.0000000000031317, -13.7234418082929466, 211.6527695442543404, -0.0000000000017596, -0.0000905055271243, 8776.0000026971, 8776.0000026971, 0.0000000000000006, -3.7176034335631929, 360.0000030593939755, -3.7176328967472, -8.477697850973e-13, 2.8963788370217e-05, -4.8392091736753e-20, 20934426.0000000223517418, -0.0000000000000177, 10.5826342588583433, 0.00020890362482587, 8776.0000026971, 20925650, 0.119843957, 0.041945385, 0.119843957, 0, 0, 0, 0, 0, 0, -1.17843399e-15, -0, -1.17843399e-15, -1.17843399e-15, -1.17843399e-15, -4.12451895e-16, -1.17843399e-15, 15, 0.5, 1, 0, 109.767907, -1.733365058e-05, -5.292924864e-11, 0.6351242719
0.05833331, 0, 0, 0, 0.5, 0, 0, 2.403293552, -8.32800021e-14, 15, 0.0000000000002566, 0.0000002913246439, -0.0000000000001933, 0.0000000000110580, 0.0000080146135509, -0.0000000000076914, 40.87064612, 7150344.015, 211.65276901, 1541.16505032, 211.2073903581174932, -0.0000000000076442, -13.7234429944113518, 211.2073903581174932, -0.0000000000076442, -13.7234429944113518, 211.6527692108660972, -0.0000000000050676, -0.0001272462179411, 8776.0000048093, 8776.0000048093, 0.0000000000000031, -3.7175937753537256, 360.0000030593939755, -3.7176332251854, -2.0693212578535e-12, 3.8618384472867e-05, -1.977182764011e-19, 20934426.0000000558793545, -0.0000000000000722, 14.1101790042285451, 0.00027853816643449, 8776.0000048093, 20925650, 0.119843957, 0.041945385, 0.119843957, 0, 0, 0, 0, 0, 0, -4.15288636e-15, -0, -4.15288636e-15, -4.15288636e-15, -4.15288636e-15, -1.45351023e-15, -4.15288636e-15, 15, 0.5, 1, 0, 109.7679067, -2.206269711e-05, -9.512104798e-11, 0.6351242719
0.07499997, 0, 0, 0, 0.5, 0, 0, 2.403293552, -2.069293709e-13, 15, 0.0000000000006347, 0.0000004674675941, -0.0000000000004316, 0.0000000000230355, 0.0000105748282192, -0.0000000000144608, 40.87064593, 7150343.999, 211.652768538, 1541.16505026, 211.2073897904189721, -0.0000000000151114, -13.7234444611079720, 211.2073897904189721, -0.0000000000151114, -13.7234444611079720, 211.6527687855575550, -0.0000000000109789, -0.0001642862746962, 8776.0000075363, 8776.0000075363, 0.0000000000000101, -3.7175841145694806, 360.0000030593939755, -3.7176336313587, -4.0907429609297e-12, 4.8272980558212e-05, -5.5524659202265e-19, 20934426.0000001080334187, -0.0000000000002029, 17.6377237432771032, 0.00034817270804311, 8776.0000075363, 20925650, 0.119843957, 0.041945385, 0.119843957, 0, 0, 0, 0, 0, 0, -1.03188537e-14, -0, -1.03188537e-14, -1.03188537e-14, -1.03188537e-14, -3.61159881e-15, -1.03188537e-14, 15, 0.5, 1, 0, 109.7679064, -2.666192051e-05, -1.488765116e-10, 0.6351242719
0.09166663, 0, 0, 0, 0.5, 0, 0, 2.403293552, -4.251232647e-13, 15, 0.0000000000013134, 0.0000006878943776, -0.0000000000008293, 0.0000000000411382, 0.0000132314130528, -0.0000000000240531, 40.87064571, 7150343.98, 211.652767974, 1541.16505019, 211.2073891122470286, -0.0000000000262361, -13.7234462003935764, 211.2073891122470286, -0.0000000000262361, -13.7234462003935764, 211.6527682678916449, -0.0000000000202117, -0.0002016203329074, 8776.0000108816, 8776.0000108816, 0.0000000000000259, -3.7175744504854036, 360.0000030593939755, -3.7176341131075, -7.1022833568289e-12, 5.7927576622051e-05, -1.2561534078657e-18, 20934426.0000001825392246, -0.0000000000004590, 21.1652684744684763, 0.00041780724965173, 8776.0000108816, 20925650, 0.119843957, 0.041945385, 0.119843957, 0, 0, 0, 0, 0, 0, -2.11994304e-14, -0, -2.11994304e-14, -2.11994304e-14, -2.11994304e-14, -7.41980063e-15, -2.11994304e-14, 15, 0.5, 1, 0, 109.7679061, -3.113181934e-05, -2.13898181e-10, 0.6351242719
0.10833329, 0, 0, 0, 0.5, 0, 0, 2.403293552, -7.731468702e-13, 15, 0.0000000000024120, 0.0000009540935625, -0.0000000000014401, 0.0000000000663957, 0.0000159773244691, -0.0000000000368616, 40.87064545, 7150343.957, 211.652767317, 1541.1650501, 211.2073883236911058, -0.0000000000417029, -13.7234482043133941, 211.2073883236911058, -0.0000000000417029, -13.7234482043133941, 211.6527676574382895, -0.0000000000334682, -0.0002392431576617, 8776.000014849, 8776.0000148527, 0.0000000000000567, -3.7175647823506761, 360.0000030593939186, -3.7176346682811, -1.1289237035615e-11, 6.7582172660159e-05, -2.4680063393673e-18, 20934426.0000002868473530, -0.0000000000009017, 24.6928131962599018, 0.00048744179126036, 8776.0000148527, 20925650, 0.119843957, 0.041945385, 0.119843957, 0, 0, 0, 0, 0, 0, -3.85541668e-14, -0, -3.85541668e-14, -3.85541668e-14, -3.85541668e-14, -1.34939584e-14, -3.85541668e-14, 15, 0.5, 1, 0, 109.7679057, -3.547300431e-05, -2.898890799e-10, 0.6351242719
0.12499995, 0, 0, 0, 0.5, 0, 0, 2.403293552, -1.29072483e-12, 15, 0.0000000000040655, 0.0000012674396504, -0.0000000000023238, 0.0000000000997400, 0.0000188057178446, -0.0000000000532544, 40.87064516, 7150343.931, 211.652766567, 1541.16505001, 211.2073874248445406, -0.0000000000621779, -13.7234504649539666, 211.2073874248445406, -0.0000000000621779, -13.7234504649539666, 211.6527669537741758, -0.0000000000514349, -0.0002771496432672, 8776.0000194497, 8776.0000194497, 0.0000000000001108, -3.7175551093906134, 360.0000030593939186, -3.7176352947405, -1.6831954921592e-11, 7.7236768668295e-05, -4.3900505999956e-18, 20934426.0000004284083843, -0.0000000000016040, 28.2203579071014978, 0.00055707633286898, 8776.0000194497, 20925650, 0.119843957, 0.041945385, 0.119843957, 0, 0, 0, 0, 0, 0, -6.43639938e-14, -0, -6.43639938e-14, -6.43639938e-14, -6.43639938e-14, -2.25273978e-14, -6.43639938e-14, 15, 0.5, 1, 0, 109.7679052, -3.968619205e-05, -3.765529793e-10, 0.6351242719
0.14166661, 0, 0, 0, 0.5, 0, 0, 2.403293552, -2.021728774e-12, 15, 0.0000000000064226, 0.0000016291962153, -0.0000000000035458, 0.0000000001420114, 0.0000217099376637, -0.0000000000735747, 40.87064482, 7150343.901, 211.652765723, 1541.1650499, 211.2073864158037679, -0.0000000000883091, -13.7234529744492590, 211.2073864158037679, -0.0000000000883091, -13.7234529744492590, 211.6527661564823575, -0.0000000000747837, -0.0003153348127398, 8776.0000246838, 8776.0000246838, 0.0000000000001989, -3.7175454308085718, 360.0000030593939186, -3.7176359903588, -2.3905858847752e-11, 8.6891364642196e-05, -7.2525118753992e-18, 20934426.0000006109476089, -0.0000000000026499, 31.7479026054363942, 0.0006267108744776, 8776.0000246838, 20925650, 0.119843957, 0.041945385, 0.119843957, 0, 0, 0, 0, 0, 0, -1.00816638e-13, -0, -1.00816638e-13, -1.00816638e-13, -1.00816638e-13, -3.52858234e-14, -1.00816638e-13, 15, 0.5, 1, 0, 109.7679046, -4.377219801e-05, -4.735946459e-10, 0.6351242719
0.15833327, 0, 0, 0, 0.5, 0, 0, 2.403293552, -3.013894493e-12, 15, 0.0000000000096449, 0.0000020405191630, -0.0000000000051769, 0.0000000001939631, 0.0000246835238916, -0.0000000000981419, 40.87064446, 7150343.868, 211.652764784, 1541.16504978, 211.2073852966677805, -0.0000000001207265, -13.7234557249868327, 211.2073852966677805, -0.0000000001207265, -13.7234557249868327, 211.6527652651517428, -0.0000000001041714, -0.0003537938170997, 8776.0000305586, 8776.0000305586, 0.0000000000003346, -3.7175357457877420, 360.0000030593938050, -3.717636753024, -3.2681460152758e-11, 9.6545960577582e-05, -1.1315915564543e-17, 20934426.0000008381903172, -0.0000000000041345, 35.2754472897008213, 0.00069634541608622, 8776.0000305586, 20925650, 0.119843957, 0.041945385, 0.119843957, 0, 0, 0, 0, 0, 0, -1.50292519e-13, -0, -1.50292519e-13, -1.50292519e-13, -1.50292519e-13, -5.26023818e-14, -1.50292519e-13, 15, 0.5, 1, 0, 109.7679041, -4.773193672e-05, -5.807200838e-10, 0.6351242719
